3,Fixed Walsh/direct-output absolute identity,A simple fixed rank-24/32 Walsh source has real capacity and may admit algebraic cancellations unavailable to adaptive PCA.,Known odd references and full-companion samples fail badly; no identity is known.,Derive an exact shared vector identity or demonstrate a phase-bearing observable before any learner.,MATH-ONLY CONDITIONAL
4,Weight-aware information lower bound,Could conclusively close the remaining late-interface class and prevent further wasted work.,Does not improve score directly.,Construct matched weight/transcript pairs or a conditional-variance lower bound exceeding the source-specific T72 margin.,STOP-CERTIFICATE PATH
5,Radical compute reduction with unchanged estimator,An 80% score reduction is achieved directly if measured effective compute falls to 20% with unchanged MSE.,No current implementation evidence is remotely near a 5× reduction.,Only official subprocess/FlopScope measurement with exact output equivalence can revive it.,LOW PROBABILITY
6,Finite-width/static proof programs,High publication value and may close broad classes.,Current results cannot produce an 80% score gain.,Continue only as a separate theorem lane; do not consume main competition effort.,PROOF-ONLY
,,,,,
Stop now,Reason,Evidence status,Replacement,,
Static node/weight tuning,Same-cost gain capped near 1.067×.,Proved in declared static class.,Leave the class.,,
Natural rank-4/5 late sources,Best confirmation residuals ≈0.40; impossible at Gate A.,Broad frozen source tournaments.,Use direct-output rank≈36 or a genuinely new identity.,,
Rank-12 boundary source,Tiny aggregate margin and catastrophic tails.,Confirmation worst ≈0.51.,Do not spend estimator work.,,
Exact conic-30 candidate,Only 5/12 confirmation cases pass the zero-cost gate; pilots are 27×+ over budget.,Frozen confirmation and pilot experiments.,Only conic-90 master remains provisional.,,
Generic coefficient predictors,They improve within an inadequate or phase-unstable representation.,Independent validation/confirmation failures.,Exact identity or certified covariance frontier.,,
Same-design residual regression,Variance reduction does not identify common signed integration bias.,Raw ratios 1.03 to catastrophic.,Independent absolute estimator.,,
Low-piece maxout/DC and shallow controls,Frozen tests are catastrophically score-negative.,Pooled adjusted ratio ≈34.,Do not expand piece counts.,,
Universal transcript-only identity,Finite-design blind network has identical 129-group transcript but different Gaussian mean.,Constructive theorem/verifier.,Use weights/checkpoints or an ensemble-specific claim.,,
,,,,,
Latest source,Result absorbed,Canonical effect,Status,Protected data?,Priority
AGENT8_WHITEBOX_OBSERVABLE_DISCOVERY_REPORT.md,Adaptive direct-output source: confirmation 0.0749 pooled / 0.183 worst.,Source construction solved at rank≈36; observability becomes sole bottleneck.,Positive Gate A / no estimator,No,1
AGENT4_REPLAYABILITY_CONTINUATION_V3.md,Direct source needs no replay; transcript-only universal identity impossible.,Promote direct source; use source-specific weight-aware audit.,Canonical synthesis,No,1
WHestBench_Agent2_Checkpoint_Gauge_Continuation_20260730.md,Exact arbitrary checkpoint gauges; global linear optimum is convex SOCP.,"Use as bounded falsifier/certificate, not open-ended control search.",Theorem + negative generic screens,No,1
AGENT5_GEOMETRY_CONTINUATION_REPORT.md,Rank 4/5 closed; rank 20–32 capacity exists; signed phase fails.,Stop low-rank natural geometry and generic phase models.,Negative/conditional,No,2
AGENT7_CONTINUATION_FINAL_REPORT.md,Conic-30 fails tails and all tested pilots/controls.,Stop exact conic-30 candidate and its sampled estimators.,Decisive negative,No,2
AGENT6_CONTINUATION_V3_REPORT.md,A90 contains A30 at same ray cost; all training/gating trajectories must be charged.,Retain conic-90 as provisional full-48 audit only.,Provisional,No,2
AGENT3_CONIC_SELF_CONTROL_CONTINUATION_REPORT_20260730.md,Exact conic self-control identity and Gram whitening.,Theorem preserved; deployment optimism superseded by Agent7 negative measurements.,Theorem / empirically superseded,No,3
AGENT1_PHYSICAL_LATE_INTERFACE_SOURCE_TOURNAMENT_REPORT.md,Natural physical rank 4/5 inadequate; large dictionaries contain signal.,Supports high-rank source diagnosis.,Negative low-rank,No,3
